,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
338,XBT/USD,2018-11-19 05:00:00,2018-11-25 22:00:00,short,5437.0,3940.0,3279507.0,229.1789934823344,898.4074103894916
339,XBT/USD,2018-03-06 02:00:00,2018-03-10 00:00:00,short,11263.5,9300.0,4534395.0,84.99511059846466,547.8256696364864
340,XBT/USD,2016-05-05 11:00:00,2016-05-05 21:00:00,short,445.62,449.0,34638.0,-0.5851382558611372,92.1391631241712
341,XBT/USD,2017-04-19 19:00:00,2017-04-19 21:00:00,long,1212.7,1199.0,172626.0,-1.6265005478232688,159.18611329742433
342,XBT/USD,2019-02-07 10:00:00,2019-02-07 18:00:00,long,3376.5,3359.0,2546814.0,-3.929692059722945,833.7826455646849
343,XBT/USD,2017-08-03 09:00:00,2017-08-06 11:00:00,long,2744.6,3164.8,618853.0,29.93768536260597,285.43698576370986
344,XBT/USD,2018-06-09 14:00:00,2018-06-12 00:00:00,short,7606.5,6840.0,3768214.0,55.51454013822436,602.9822636205553
345,XBT/USD,2019-02-07 19:00:00,2019-02-08 08:00:00,short,3356.5,3393.5,2566762.0,-8.337825854235351,825.4448197104497
346,XBT/USD,2019-10-28 18:00:00,2019-10-28 20:00:00,short,9376.0,9492.0,9423587.0,-12.282843132495953,1216.001442409696
347,XBT/USD,2019-04-12 17:00:00,2019-04-14 02:00:00,long,5068.0,5052.5,3903533.0,-2.3629069786967984,863.9194548568453
348,XBT/USD,2018-04-18 10:00:00,2018-04-18 13:00:00,long,8095.0,8000.0,3746596.0,-5.49608739962944,537.6627004541938
349,XBT/USD,2020-03-02 04:00:00,2020-03-03 16:00:00,long,8644.5,8701.5,9261229.0,7.017937166389818,1271.1401379252527
350,XBT/USD,2019-02-07 10:00:00,2019-02-07 18:00:00,long,3376.5,3359.0,2546814.0,-3.929692059722945,833.7826455646849
351,XBT/USD,2017-07-02 16:00:00,2017-07-05 04:00:00,long,2468.1,2550.1,457299.0,5.957912775255065,213.1553043020332
352,XBT/USD,2016-08-10 13:00:00,2016-08-10 22:00:00,long,596.68,590.0,68999.0,-1.3092595980243098,128.15116492904113
353,XBT/USD,2017-07-07 06:00:00,2017-07-08 15:00:00,short,2557.0,2527.3,455938.0,2.0954375095293067,208.8713644047683
354,XBT/USD,2019-08-04 21:00:00,2019-08-06 21:00:00,long,10976.0,11375.0,10024693.0,32.036751569858716,1109.62452427118
355,XBT/USD,2016-06-03 01:00:00,2016-06-07 15:00:00,long,543.41,581.51,47434.0,5.719129245919218,108.68387187178008
356,XBT/USD,2016-11-13 22:00:00,2016-11-17 22:00:00,long,700.23,738.0,80038.0,5.849868957110371,132.03151541090932
357,XBT/USD,2016-04-15 00:00:00,2016-04-17 08:00:00,long,425.59,430.13,32866.0,0.8151012418771935,93.17465917319129
358,XBT/USD,2018-05-10 18:00:00,2018-05-13 11:00:00,short,9138.5,8557.0,4562107.0,33.92491263651405,584.9803262252877
359,XBT/USD,2019-02-27 22:00:00,2019-02-28 00:00:00,short,3771.5,3814.5,2737831.0,-8.18320368038201,810.137046363407
360,XBT/USD,2018-06-02 05:00:00,2018-06-04 06:00:00,long,7512.0,7585.0,3799999.0,4.8685000417701945,567.1565378352641
361,XBT/USD,2017-01-14 22:00:00,2017-01-14 23:00:00,short,802.1899999999998,812.5,87269.0,-1.3804416410077396,136.66349669492377
